"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 19, 2016","228.15","227.91","228.68","227.76","4.27M","0.18%"
"Dec 16, 2016","227.73","228.67","228.74","227.33","5.19M","-0.15%"
"Dec 15, 2016","228.08","227.50","229.16","227.34","4.94M","0.33%"
"Dec 14, 2016","227.32","228.74","229.59","226.69","8.45M","-0.76%"
"Dec 13, 2016","229.05","228.38","229.69","228.34","5.94M","0.65%"
"Dec 12, 2016","227.57","227.74","228.29","227.09","4.74M","-0.12%"
"Dec 09, 2016","227.85","226.72","227.85","226.69","4.48M","0.64%"
"Dec 08, 2016","226.41","225.90","227.01","225.56","4.67M","0.24%"
"Dec 07, 2016","225.87","222.83","225.97","222.66","3.50M","1.29%"
"Dec 06, 2016","222.99","222.51","223.02","221.93","3.12M","0.36%"
"Dec 05, 2016","222.19","221.94","222.67","221.70","2.44M","0.58%"
"Dec 02, 2016","220.91","220.93","221.50","220.52","3.31M","0.08%"
"Dec 01, 2016","220.73","221.97","221.98","220.42","3.84M","-0.36%"
"Nov 30, 2016","221.53","222.94","223.10","221.53","6.25M","-0.30%"
"Nov 29, 2016","222.19","221.81","222.72","221.43","3.57M","0.16%"
"Nov 28, 2016","221.83","222.43","222.75","221.63","4.82M","-0.44%"
"Nov 25, 2016","222.81","222.36","222.82","222.29","1.85M","0.36%"
"Nov 23, 2016","222.00","221.25","222.03","221.01","3.76M","0.11%"
"Nov 22, 2016","221.76","221.80","222.05","220.99","3.06M","0.17%"
"Nov 21, 2016","221.39","220.42","221.44","220.26","3.18M","0.73%"
"Nov 18, 2016","219.79","220.31","220.52","219.53","4.57M","-0.20%"
"Nov 17, 2016","220.23","219.32","220.31","219.17","5.75M","0.45%"
"Nov 16, 2016","219.24","218.78","219.38","218.67","4.25M","-0.13%"
"Nov 15, 2016","219.52","218.29","219.52","218.02","5.31M","0.79%"
"Nov 14, 2016","217.79","218.37","218.50","216.95","3.75M","0.03%"
"Nov 11, 2016","217.73","217.32","217.92","216.55","7.36M","-0.18%"
"Nov 10, 2016","218.12","218.58","219.55","216.45","8.14M","0.20%"
"Nov 09, 2016","217.69","213.51","218.34","213.47","9.81M","1.11%"
"Nov 08, 2016","215.31","213.92","216.00","213.60","6.42M","0.46%"
"Nov 07, 2016","214.32","212.65","214.39","212.49","8.40M","2.22%"
"Nov 04, 2016","209.67","210.09","211.07","209.57","3.93M","-0.17%"
"Nov 03, 2016","210.02","211.17","211.41","209.64","3.74M","-0.42%"
"Nov 02, 2016","210.90","211.87","212.29","210.41","3.79M","-0.63%"
"Nov 01, 2016","212.23","214.13","214.18","210.79","8.08M","-0.68%"
"Oct 31, 2016","213.69","214.16","214.39","213.57","4.26M","-0.03%"
"Oct 28, 2016","213.75","214.33","215.14","212.93","3.88M","-0.29%"
"Oct 27, 2016","214.38","215.81","215.83","214.30","2.88M","-0.27%"
"Oct 26, 2016","214.97","214.42","215.64","214.16","2.50M","-0.21%"
"Oct 25, 2016","215.42","215.90","216.20","215.21","2.19M","-0.32%"
"Oct 24, 2016","216.11","216.23","216.53","215.70","2.28M","0.44%"
"Oct 21, 2016","215.16","214.19","215.30","213.99","2.23M","0.05%"
"Oct 20, 2016","215.06","215.10","215.75","214.33","2.52M","-0.17%"
"Oct 19, 2016","215.43","215.20","215.85","214.82","2.72M","0.25%"
"Oct 18, 2016","214.90","215.45","215.50","214.49","1.60M","0.62%"
"Oct 17, 2016","213.58","214.29","214.59","213.39","2.93M","-0.33%"
"Oct 14, 2016","214.29","215.39","215.91","214.25","3.71M","0.01%"
"Oct 13, 2016","214.27","213.35","214.81","212.41","4.47M","-0.31%"
"Oct 12, 2016","214.93","214.82","215.53","214.23","2.42M","0.13%"
"Oct 11, 2016","214.66","216.88","216.95","213.79","3.99M","-1.23%"
"Oct 10, 2016","217.34","217.37","217.93","217.22","2.64M","0.50%"
"Oct 07, 2016","216.25","217.33","217.58","215.40","7.72M","-0.39%"
"Oct 06, 2016","217.10","216.59","217.26","215.96","2.44M","0.10%"
"Oct 05, 2016","216.89","216.61","217.35","216.56","2.86M","0.44%"
