,estimator,learning_rate,loss,max_depth,max_features,min_samples_leaf,n_estimators
95,0,0.15250576806987406,0,8.0,195.0,40.0,316.0
96,0,0.11946302229111244,0,7.0,204.0,41.0,761.0
97,0,0.19399085937483293,0,6.0,223.0,43.0,903.0
98,0,0.15527626928801488,0,3.0,169.0,58.0,851.0
99,0,0.1822931083907151,0,7.0,172.0,14.0,836.0
100,0,0.19052630178659644,0,7.0,185.0,37.0,916.0
101,0,0.055042348034145094,1,9.0,152.0,8.0,873.0
102,0,0.1934238158555328,0,6.0,219.0,39.0,723.0
103,0,0.16326552899872626,0,4.0,206.0,43.0,671.0
104,0,0.19536521475458923,0,2.0,189.0,39.0,579.0
105,0,0.12043456601148894,0,7.0,152.0,29.0,690.0
106,0,0.09529092632926171,1,10.0,182.0,5.0,796.0
107,0,0.10219381602005972,0,7.0,204.0,36.0,527.0
108,0,0.19953261739646275,0,8.0,169.0,31.0,699.0
109,0,0.12812010855330053,0,6.0,171.0,45.0,995.0
110,0,0.16875362217438844,0,2.0,167.0,41.0,852.0
111,0,0.07757757407027238,0,10.0,169.0,9.0,828.0
112,0,0.09279529045436645,0,6.0,199.0,14.0,955.0
113,0,0.18052224060440436,0,10.0,204.0,33.0,749.0
114,0,0.13240941626585373,0,6.0,191.0,19.0,887.0
115,0,0.08588059688004977,0,4.0,201.0,16.0,246.0
116,0,0.17832862564779997,0,5.0,151.0,10.0,618.0
117,0,0.11670257099826117,0,5.0,178.0,7.0,911.0
118,0,0.09773394433042412,1,6.0,223.0,6.0,648.0
119,0,0.08482663212756328,1,6.0,175.0,8.0,465.0
120,0,0.19964645501990194,0,10.0,154.0,34.0,820.0
121,0,0.15443249608345147,0,3.0,196.0,45.0,694.0
122,0,0.14046949790367158,0,7.0,207.0,40.0,896.0
123,0,0.19534274423172968,0,8.0,171.0,43.0,832.0
124,0,0.1313814437247844,0,8.0,162.0,27.0,387.0
125,0,0.0946149676029667,0,8.0,154.0,32.0,742.0
126,0,0.19685783077274954,0,10.0,189.0,14.0,336.0
127,0,0.12345385589338778,0,7.0,206.0,16.0,780.0
128,0,0.14362117528545243,0,4.0,158.0,15.0,815.0
129,0,0.15300106807613215,0,7.0,201.0,45.0,923.0
130,0,0.1525031504439284,0,3.0,192.0,41.0,461.0
131,0,0.19744030047889322,0,3.0,178.0,41.0,400.0
132,0,0.09250499490495111,0,2.0,189.0,47.0,744.0
133,0,0.07706115704554137,0,9.0,212.0,5.0,285.0
134,0,0.18677793196398734,0,10.0,215.0,10.0,74.0
135,0,0.1772845300402054,0,2.0,172.0,20.0,604.0
136,0,0.1988593500845551,1,10.0,172.0,8.0,510.0
137,0,0.18445068802998763,0,5.0,188.0,5.0,563.0
138,0,0.1973635203316348,0,2.0,194.0,5.0,297.0
139,0,0.1984359376059464,0,2.0,195.0,43.0,227.0
140,0,0.17217340604947268,0,3.0,156.0,64.0,645.0
141,0,0.16403843844666752,1,9.0,216.0,7.0,718.0
142,0,0.09558713257946466,0,5.0,218.0,16.0,392.0
143,0,0.16870167381501688,0,9.0,183.0,47.0,941.0
144,0,0.183806352726557,1,5.0,162.0,11.0,303.0
145,0,0.13469380830694488,1,6.0,207.0,8.0,884.0
146,0,0.19481315557853845,0,2.0,150.0,63.0,974.0
147,0,0.1991165274960092,0,6.0,164.0,48.0,744.0
148,0,0.16580250715364253,0,9.0,181.0,48.0,867.0
149,0,0.11809428551966494,1,4.0,159.0,6.0,196.0
150,0,0.11915828637449469,0,10.0,175.0,49.0,912.0
151,0,0.1821821186061006,0,6.0,190.0,45.0,569.0
152,0,0.14879179541183157,0,5.0,175.0,6.0,575.0
153,0,0.14074264221957555,1,10.0,150.0,16.0,856.0
154,0,0.10508209688240211,0,9.0,215.0,9.0,684.0
155,0,0.13927766404817662,0,9.0,210.0,14.0,912.0
156,0,0.1737457760294615,0,10.0,172.0,35.0,899.0
157,0,0.199148378332207,0,3.0,201.0,39.0,828.0
158,0,0.1145634585359821,0,7.0,204.0,36.0,990.0
159,0,0.1536570157414009,1,6.0,222.0,15.0,968.0
160,0,0.19099902841134597,1,4.0,154.0,9.0,674.0
161,0,0.19903339886615773,0,8.0,161.0,8.0,695.0
162,0,0.15899390754630652,0,8.0,210.0,8.0,848.0
163,0,0.075672730499059,1,10.0,183.0,5.0,908.0
164,0,0.19678150765526994,0,8.0,153.0,25.0,296.0
165,0,0.18245604018441686,0,9.0,155.0,5.0,399.0
166,0,0.14080098937129587,0,7.0,172.0,36.0,824.0
167,0,0.12991490446741244,0,9.0,150.0,5.0,69.0
168,0,0.1802719786968652,0,6.0,210.0,38.0,248.0
169,0,0.14386937375058212,0,7.0,165.0,7.0,562.0
170,0,0.06847552678043566,0,7.0,185.0,6.0,618.0
171,0,0.19733595545588664,0,6.0,217.0,66.0,983.0
172,0,0.1697336900553953,0,5.0,161.0,44.0,752.0
173,0,0.07863352509360427,0,5.0,216.0,15.0,191.0
174,0,0.17015005357635116,0,5.0,174.0,50.0,808.0
175,0,0.1328887863147908,0,5.0,174.0,36.0,527.0
176,0,0.17881508512092145,0,7.0,180.0,32.0,676.0
177,0,0.1270200304696273,0,8.0,181.0,5.0,99.0
178,0,0.1518635161346591,0,8.0,173.0,37.0,604.0
179,0,0.12468507449632149,0,10.0,213.0,38.0,705.0
180,0,0.12655921890810407,0,3.0,165.0,35.0,622.0
181,0,0.17368280481162152,0,3.0,168.0,5.0,912.0
182,0,0.15600700816550372,0,6.0,150.0,13.0,384.0
183,0,0.19743947345432716,0,8.0,153.0,36.0,993.0
184,0,0.15974499682074422,0,2.0,184.0,46.0,754.0
185,0,0.18489758414155952,0,3.0,193.0,21.0,613.0
186,0,0.11045680337808853,0,8.0,185.0,6.0,548.0
187,0,0.1879564785806303,0,7.0,199.0,33.0,713.0
188,0,0.19927779497309892,0,8.0,159.0,69.0,837.0
189,0,0.1590046871963147,0,3.0,199.0,14.0,291.0
190,0,0.16427930183137854,0,6.0,171.0,21.0,224.0
191,0,0.08940262127319676,0,8.0,162.0,43.0,958.0
192,0,0.12830368187369673,0,5.0,203.0,21.0,805.0
193,0,0.1838403242613541,0,10.0,213.0,52.0,844.0
194,0,0.1686630384771287,0,3.0,188.0,36.0,622.0
195,0,0.17697534610240204,0,8.0,181.0,66.0,876.0
196,0,0.0824782537184669,0,8.0,205.0,15.0,515.0
197,0,0.14448554313839926,0,5.0,203.0,59.0,998.0
198,0,0.1988029093855154,0,3.0,175.0,66.0,988.0
199,0,0.14248543926097662,0,3.0,184.0,29.0,712.0
200,0,0.1798137927295675,0,7.0,158.0,18.0,412.0
201,0,0.18110762533009184,0,4.0,213.0,49.0,680.0
